rank,hand,category,description
1873,JJJ32,3K,Three Jacks
1874,TTTAK,3K,Three Tens
1875,TTTAQ,3K,Three Tens
1876,TTTAJ,3K,Three Tens
1877,TTTA9,3K,Three Tens
1878,TTTA8,3K,Three Tens
1879,TTTA7,3K,Three Tens
1880,TTTA6,3K,Three Tens
1881,TTTA5,3K,Three Tens
1882,TTTA4,3K,Three Tens
1883,TTTA3,3K,Three Tens
1884,TTTA2,3K,Three Tens
1885,TTTKQ,3K,Three Tens
1886,TTTKJ,3K,Three Tens
1887,TTTK9,3K,Three Tens
1888,TTTK8,3K,Three Tens
1889,TTTK7,3K,Three Tens
1890,TTTK6,3K,Three Tens
1891,TTTK5,3K,Three Tens
1892,TTTK4,3K,Three Tens
1893,TTTK3,3K,Three Tens
1894,TTTK2,3K,Three Tens
1895,TTTQJ,3K,Three Tens
1896,TTTQ9,3K,Three Tens
1897,TTTQ8,3K,Three Tens
1898,TTTQ7,3K,Three Tens
1899,TTTQ6,3K,Three Tens
1900,TTTQ5,3K,Three Tens
1901,TTTQ4,3K,Three Tens
1902,TTTQ3,3K,Three Tens
1903,TTTQ2,3K,Three Tens
1904,TTTJ9,3K,Three Tens
1905,TTTJ8,3K,Three Tens
1906,TTTJ7,3K,Three Tens
1907,TTTJ6,3K,Three Tens
1908,TTTJ5,3K,Three Tens
1909,TTTJ4,3K,Three Tens
1910,TTTJ3,3K,Three Tens
1911,TTTJ2,3K,Three Tens
1912,TTT98,3K,Three Tens
1913,TTT97,3K,Three Tens
1914,TTT96,3K,Three Tens
1915,TTT95,3K,Three Tens
1916,TTT94,3K,Three Tens
1917,TTT93,3K,Three Tens
1918,TTT92,3K,Three Tens
1919,TTT87,3K,Three Tens
1920,TTT86,3K,Three Tens
1921,TTT85,3K,Three Tens
1922,TTT84,3K,Three Tens
1923,TTT83,3K,Three Tens
1924,TTT82,3K,Three Tens
1925,TTT76,3K,Three Tens
1926,TTT75,3K,Three Tens
1927,TTT74,3K,Three Tens
1928,TTT73,3K,Three Tens
1929,TTT72,3K,Three Tens
1930,TTT65,3K,Three Tens
1931,TTT64,3K,Three Tens
1932,TTT63,3K,Three Tens
1933,TTT62,3K,Three Tens
1934,TTT54,3K,Three Tens
1935,TTT53,3K,Three Tens
1936,TTT52,3K,Three Tens
1937,TTT43,3K,Three Tens
1938,TTT42,3K,Three Tens
1939,TTT32,3K,Three Tens
1940,999AK,3K,Three Nines
1941,999AQ,3K,Three Nines
1942,999AJ,3K,Three Nines
1943,999AT,3K,Three Nines
1944,999A8,3K,Three Nines
1945,999A7,3K,Three Nines
1946,999A6,3K,Three Nines
1947,999A5,3K,Three Nines
1948,999A4,3K,Three Nines
1949,999A3,3K,Three Nines
1950,999A2,3K,Three Nines
1951,999KQ,3K,Three Nines
1952,999KJ,3K,Three Nines
1953,999KT,3K,Three Nines
1954,999K8,3K,Three Nines
1955,999K7,3K,Three Nines
1956,999K6,3K,Three Nines
1957,999K5,3K,Three Nines
1958,999K4,3K,Three Nines
1959,999K3,3K,Three Nines
1960,999K2,3K,Three Nines
1961,999QJ,3K,Three Nines
1962,999QT,3K,Three Nines
1963,999Q8,3K,Three Nines
1964,999Q7,3K,Three Nines
1965,999Q6,3K,Three Nines
1966,999Q5,3K,Three Nines
1967,999Q4,3K,Three Nines
1968,999Q3,3K,Three Nines
1969,999Q2,3K,Three Nines
1970,999JT,3K,Three Nines
1971,999J8,3K,Three Nines
1972,999J7,3K,Three Nines
1973,999J6,3K,Three Nines
1974,999J5,3K,Three Nines
1975,999J4,3K,Three Nines
1976,999J3,3K,Three Nines
1977,999J2,3K,Three Nines
1978,999T8,3K,Three Nines
1979,999T7,3K,Three Nines
1980,999T6,3K,Three Nines
1981,999T5,3K,Three Nines
1982,999T4,3K,Three Nines
1983,999T3,3K,Three Nines
1984,999T2,3K,Three Nines
1985,99987,3K,Three Nines
1986,99986,3K,Three Nines
1987,99985,3K,Three Nines
1988,99984,3K,Three Nines
1989,99983,3K,Three Nines
1990,99982,3K,Three Nines
1991,99976,3K,Three Nines
1992,99975,3K,Three Nines
1993,99974,3K,Three Nines
1994,99973,3K,Three Nines
1995,99972,3K,Three Nines
1996,99965,3K,Three Nines
1997,99964,3K,Three Nines
1998,99963,3K,Three Nines
1999,99962,3K,Three Nines
2000,99954,3K,Three Nines
2001,99953,3K,Three Nines
2002,99952,3K,Three Nines
2003,99943,3K,Three Nines
2004,99942,3K,Three Nines
2005,99932,3K,Three Nines
2006,888AK,3K,Three Eights
2007,888AQ,3K,Three Eights
2008,888AJ,3K,Three Eights
2009,888AT,3K,Three Eights
2010,888A9,3K,Three Eights
2011,888A7,3K,Three Eights
2012,888A6,3K,Three Eights
2013,888A5,3K,Three Eights
2014,888A4,3K,Three Eights
2015,888A3,3K,Three Eights
2016,888A2,3K,Three Eights
2017,888KQ,3K,Three Eights
2018,888KJ,3K,Three Eights
2019,888KT,3K,Three Eights
2020,888K9,3K,Three Eights
2021,888K7,3K,Three Eights
2022,888K6,3K,Three Eights
2023,888K5,3K,Three Eights
2024,888K4,3K,Three Eights
2025,888K3,3K,Three Eights
2026,888K2,3K,Three Eights
2027,888QJ,3K,Three Eights
2028,888QT,3K,Three Eights
2029,888Q9,3K,Three Eights
2030,888Q7,3K,Three Eights
2031,888Q6,3K,Three Eights
2032,888Q5,3K,Three Eights
2033,888Q4,3K,Three Eights
2034,888Q3,3K,Three Eights
2035,888Q2,3K,Three Eights
2036,888JT,3K,Three Eights
2037,888J9,3K,Three Eights
2038,888J7,3K,Three Eights
2039,888J6,3K,Three Eights
2040,888J5,3K,Three Eights
2041,888J4,3K,Three Eights
2042,888J3,3K,Three Eights
2043,888J2,3K,Three Eights
2044,888T9,3K,Three Eights
2045,888T7,3K,Three Eights
2046,888T6,3K,Three Eights
2047,888T5,3K,Three Eights
2048,888T4,3K,Three Eights
2049,888T3,3K,Three Eights
2050,888T2,3K,Three Eights
2051,88897,3K,Three Eights
2052,88896,3K,Three Eights
2053,88895,3K,Three Eights
2054,88894,3K,Three Eights
2055,88893,3K,Three Eights
2056,88892,3K,Three Eights
2057,88876,3K,Three Eights
2058,88875,3K,Three Eights
2059,88874,3K,Three Eights
2060,88873,3K,Three Eights
2061,88872,3K,Three Eights
2062,88865,3K,Three Eights
2063,88864,3K,Three Eights
2064,88863,3K,Three Eights
2065,88862,3K,Three Eights
2066,88854,3K,Three Eights
2067,88853,3K,Three Eights
2068,88852,3K,Three Eights
2069,88843,3K,Three Eights
2070,88842,3K,Three Eights
2071,88832,3K,Three Eights
2072,777AK,3K,Three Sevens
2073,777AQ,3K,Three Sevens
2074,777AJ,3K,Three Sevens
2075,777AT,3K,Three Sevens
2076,777A9,3K,Three Sevens
2077,777A8,3K,Three Sevens
2078,777A6,3K,Three Sevens
2079,777A5,3K,Three Sevens
2080,777A4,3K,Three Sevens
2081,777A3,3K,Three Sevens
2082,777A2,3K,Three Sevens
2083,777KQ,3K,Three Sevens
2084,777KJ,3K,Three Sevens
2085,777KT,3K,Three Sevens
2086,777K9,3K,Three Sevens
2087,777K8,3K,Three Sevens
2088,777K6,3K,Three Sevens
2089,777K5,3K,Three Sevens
2090,777K4,3K,Three Sevens
2091,777K3,3K,Three Sevens
2092,777K2,3K,Three Sevens
2093,777QJ,3K,Three Sevens
2094,777QT,3K,Three Sevens
2095,777Q9,3K,Three Sevens
2096,777Q8,3K,Three Sevens
2097,777Q6,3K,Three Sevens
2098,777Q5,3K,Three Sevens
2099,777Q4,3K,Three Sevens
2100,777Q3,3K,Three Sevens
2101,777Q2,3K,Three Sevens
2102,777JT,3K,Three Sevens
2103,777J9,3K,Three Sevens
2104,777J8,3K,Three Sevens
2105,777J6,3K,Three Sevens
2106,777J5,3K,Three Sevens
2107,777J4,3K,Three Sevens
2108,777J3,3K,Three Sevens
2109,777J2,3K,Three Sevens
2110,777T9,3K,Three Sevens
2111,777T8,3K,Three Sevens
2112,777T6,3K,Three Sevens
2113,777T5,3K,Three Sevens
2114,777T4,3K,Three Sevens
2115,777T3,3K,Three Sevens
2116,777T2,3K,Three Sevens
2117,77798,3K,Three Sevens
2118,77796,3K,Three Sevens
2119,77795,3K,Three Sevens
2120,77794,3K,Three Sevens
2121,77793,3K,Three Sevens
2122,77792,3K,Three Sevens
2123,77786,3K,Three Sevens
2124,77785,3K,Three Sevens
2125,77784,3K,Three Sevens
2126,77783,3K,Three Sevens
2127,77782,3K,Three Sevens
2128,77765,3K,Three Sevens
2129,77764,3K,Three Sevens
2130,77763,3K,Three Sevens
2131,77762,3K,Three Sevens
2132,77754,3K,Three Sevens
2133,77753,3K,Three Sevens
2134,77752,3K,Three Sevens
2135,77743,3K,Three Sevens
2136,77742,3K,Three Sevens
2137,77732,3K,Three Sevens
2138,666AK,3K,Three Sixes
2139,666AQ,3K,Three Sixes
2140,666AJ,3K,Three Sixes
2141,666AT,3K,Three Sixes
2142,666A9,3K,Three Sixes
2143,666A8,3K,Three Sixes
2144,666A7,3K,Three Sixes
2145,666A5,3K,Three Sixes
2146,666A4,3K,Three Sixes
2147,666A3,3K,Three Sixes
2148,666A2,3K,Three Sixes
2149,666KQ,3K,Three Sixes
2150,666KJ,3K,Three Sixes
2151,666KT,3K,Three Sixes
2152,666K9,3K,Three Sixes
2153,666K8,3K,Three Sixes
2154,666K7,3K,Three Sixes
2155,666K5,3K,Three Sixes
2156,666K4,3K,Three Sixes
2157,666K3,3K,Three Sixes
2158,666K2,3K,Three Sixes
2159,666QJ,3K,Three Sixes
2160,666QT,3K,Three Sixes
2161,666Q9,3K,Three Sixes
2162,666Q8,3K,Three Sixes
2163,666Q7,3K,Three Sixes
2164,666Q5,3K,Three Sixes
2165,666Q4,3K,Three Sixes
2166,666Q3,3K,Three Sixes
2167,666Q2,3K,Three Sixes
2168,666JT,3K,Three Sixes
2169,666J9,3K,Three Sixes
2170,666J8,3K,Three Sixes
2171,666J7,3K,Three Sixes
2172,666J5,3K,Three Sixes
2173,666J4,3K,Three Sixes
2174,666J3,3K,Three Sixes
2175,666J2,3K,Three Sixes
2176,666T9,3K,Three Sixes
2177,666T8,3K,Three Sixes
2178,666T7,3K,Three Sixes
2179,666T5,3K,Three Sixes
2180,666T4,3K,Three Sixes
2181,666T3,3K,Three Sixes
2182,666T2,3K,Three Sixes
2183,66698,3K,Three Sixes
2184,66697,3K,Three Sixes
2185,66695,3K,Three Sixes
2186,66694,3K,Three Sixes
2187,66693,3K,Three Sixes
2188,66692,3K,Three Sixes
2189,66687,3K,Three Sixes
2190,66685,3K,Three Sixes
2191,66684,3K,Three Sixes
2192,66683,3K,Three Sixes
2193,66682,3K,Three Sixes
2194,66675,3K,Three Sixes
2195,66674,3K,Three Sixes
2196,66673,3K,Three Sixes
2197,66672,3K,Three Sixes
2198,66654,3K,Three Sixes
2199,66653,3K,Three Sixes
2200,66652,3K,Three Sixes
2201,66643,3K,Three Sixes
2202,66642,3K,Three Sixes
2203,66632,3K,Three Sixes
2204,555AK,3K,Three Fives
2205,555AQ,3K,Three Fives
2206,555AJ,3K,Three Fives
2207,555AT,3K,Three Fives
2208,555A9,3K,Three Fives
2209,555A8,3K,Three Fives
2210,555A7,3K,Three Fives
2211,555A6,3K,Three Fives
2212,555A4,3K,Three Fives
2213,555A3,3K,Three Fives
2214,555A2,3K,Three Fives
2215,555KQ,3K,Three Fives
2216,555KJ,3K,Three Fives
2217,555KT,3K,Three Fives
2218,555K9,3K,Three Fives
2219,555K8,3K,Three Fives
2220,555K7,3K,Three Fives
2221,555K6,3K,Three Fives
2222,555K4,3K,Three Fives
2223,555K3,3K,Three Fives
2224,555K2,3K,Three Fives
2225,555QJ,3K,Three Fives
2226,555QT,3K,Three Fives
2227,555Q9,3K,Three Fives
2228,555Q8,3K,Three Fives
2229,555Q7,3K,Three Fives
2230,555Q6,3K,Three Fives
2231,555Q4,3K,Three Fives
2232,555Q3,3K,Three Fives
2233,555Q2,3K,Three Fives
2234,555JT,3K,Three Fives
2235,555J9,3K,Three Fives
2236,555J8,3K,Three Fives
2237,555J7,3K,Three Fives
2238,555J6,3K,Three Fives
2239,555J4,3K,Three Fives
2240,555J3,3K,Three Fives
2241,555J2,3K,Three Fives
2242,555T9,3K,Three Fives
2243,555T8,3K,Three Fives
2244,555T7,3K,Three Fives
2245,555T6,3K,Three Fives
2246,555T4,3K,Three Fives
2247,555T3,3K,Three Fives
2248,555T2,3K,Three Fives
2249,55598,3K,Three Fives
2250,55597,3K,Three Fives
2251,55596,3K,Three Fives
2252,55594,3K,Three Fives
2253,55593,3K,Three Fives
2254,55592,3K,Three Fives
2255,55587,3K,Three Fives
2256,55586,3K,Three Fives
2257,55584,3K,Three Fives
2258,55583,3K,Three Fives
2259,55582,3K,Three Fives
2260,55576,3K,Three Fives
2261,55574,3K,Three Fives
2262,55573,3K,Three Fives
2263,55572,3K,Three Fives
2264,55564,3K,Three Fives
2265,55563,3K,Three Fives
2266,55562,3K,Three Fives
2267,55543,3K,Three Fives
2268,55542,3K,Three Fives
2269,55532,3K,Three Fives
2270,444AK,3K,Three Fours
2271,444AQ,3K,Three Fours
2272,444AJ,3K,Three Fours
2273,444AT,3K,Three Fours
2274,444A9,3K,Three Fours
2275,444A8,3K,Three Fours
2276,444A7,3K,Three Fours
2277,444A6,3K,Three Fours
2278,444A5,3K,Three Fours
2279,444A3,3K,Three Fours
2280,444A2,3K,Three Fours
2281,444KQ,3K,Three Fours
2282,444KJ,3K,Three Fours
2283,444KT,3K,Three Fours
2284,444K9,3K,Three Fours
2285,444K8,3K,Three Fours
2286,444K7,3K,Three Fours
2287,444K6,3K,Three Fours
2288,444K5,3K,Three Fours
2289,444K3,3K,Three Fours
2290,444K2,3K,Three Fours
2291,444QJ,3K,Three Fours
2292,444QT,3K,Three Fours
2293,444Q9,3K,Three Fours
2294,444Q8,3K,Three Fours
2295,444Q7,3K,Three Fours
2296,444Q6,3K,Three Fours
2297,444Q5,3K,Three Fours
2298,444Q3,3K,Three Fours
2299,444Q2,3K,Three Fours
2300,444JT,3K,Three Fours
2301,444J9,3K,Three Fours
2302,444J8,3K,Three Fours
2303,444J7,3K,Three Fours
2304,444J6,3K,Three Fours
2305,444J5,3K,Three Fours
2306,444J3,3K,Three Fours
2307,444J2,3K,Three Fours
2308,444T9,3K,Three Fours
2309,444T8,3K,Three Fours
2310,444T7,3K,Three Fours
2311,444T6,3K,Three Fours
2312,444T5,3K,Three Fours
2313,444T3,3K,Three Fours
2314,444T2,3K,Three Fours
2315,44498,3K,Three Fours
2316,44497,3K,Three Fours
2317,44496,3K,Three Fours
2318,44495,3K,Three Fours
2319,44493,3K,Three Fours
2320,44492,3K,Three Fours
2321,44487,3K,Three Fours
2322,44486,3K,Three Fours
2323,44485,3K,Three Fours
2324,44483,3K,Three Fours
2325,44482,3K,Three Fours
2326,44476,3K,Three Fours
2327,44475,3K,Three Fours
2328,44473,3K,Three Fours
2329,44472,3K,Three Fours
2330,44465,3K,Three Fours
2331,44463,3K,Three Fours
2332,44462,3K,Three Fours
2333,44453,3K,Three Fours
2334,44452,3K,Three Fours
2335,44432,3K,Three Fours
2336,333AK,3K,Three Treys
2337,333AQ,3K,Three Treys
2338,333AJ,3K,Three Treys
2339,333AT,3K,Three Treys
2340,333A9,3K,Three Treys
2341,333A8,3K,Three Treys
2342,333A7,3K,Three Treys
2343,333A6,3K,Three Treys
2344,333A5,3K,Three Treys
2345,333A4,3K,Three Treys
2346,333A2,3K,Three Treys
2347,333KQ,3K,Three Treys
2348,333KJ,3K,Three Treys
2349,333KT,3K,Three Treys
2350,333K9,3K,Three Treys
2351,333K8,3K,Three Treys
2352,333K7,3K,Three Treys
2353,333K6,3K,Three Treys
2354,333K5,3K,Three Treys
2355,333K4,3K,Three Treys
2356,333K2,3K,Three Treys
2357,333QJ,3K,Three Treys
2358,333QT,3K,Three Treys
2359,333Q9,3K,Three Treys
2360,333Q8,3K,Three Treys
2361,333Q7,3K,Three Treys
2362,333Q6,3K,Three Treys
2363,333Q5,3K,Three Treys
2364,333Q4,3K,Three Treys
2365,333Q2,3K,Three Treys
2366,333JT,3K,Three Treys
2367,333J9,3K,Three Treys
2368,333J8,3K,Three Treys
2369,333J7,3K,Three Treys
2370,333J6,3K,Three Treys
2371,333J5,3K,Three Treys
2372,333J4,3K,Three Treys
2373,333J2,3K,Three Treys
2374,333T9,3K,Three Treys
2375,333T8,3K,Three Treys
2376,333T7,3K,Three Treys
2377,333T6,3K,Three Treys
2378,333T5,3K,Three Treys
2379,333T4,3K,Three Treys
2380,333T2,3K,Three Treys
2381,33398,3K,Three Treys
2382,33397,3K,Three Treys
2383,33396,3K,Three Treys
2384,33395,3K,Three Treys
2385,33394,3K,Three Treys
2386,33392,3K,Three Treys
2387,33387,3K,Three Treys
2388,33386,3K,Three Treys
2389,33385,3K,Three Treys
2390,33384,3K,Three Treys
2391,33382,3K,Three Treys
2392,33376,3K,Three Treys
2393,33375,3K,Three Treys
2394,33374,3K,Three Treys
2395,33372,3K,Three Treys
2396,33365,3K,Three Treys
2397,33364,3K,Three Treys
2398,33362,3K,Three Treys
2399,33354,3K,Three Treys
2400,33352,3K,Three Treys
2401,33342,3K,Three Treys
2402,222AK,3K,Three Deuces
2403,222AQ,3K,Three Deuces
2404,222AJ,3K,Three Deuces
2405,222AT,3K,Three Deuces
2406,222A9,3K,Three Deuces
2407,222A8,3K,Three Deuces
2408,222A7,3K,Three Deuces
2409,222A6,3K,Three Deuces
2410,222A5,3K,Three Deuces
2411,222A4,3K,Three Deuces
2412,222A3,3K,Three Deuces
2413,222KQ,3K,Three Deuces
2414,222KJ,3K,Three Deuces
2415,222KT,3K,Three Deuces
2416,222K9,3K,Three Deuces
2417,222K8,3K,Three Deuces
2418,222K7,3K,Three Deuces
2419,222K6,3K,Three Deuces
2420,222K5,3K,Three Deuces
2421,222K4,3K,Three Deuces
2422,222K3,3K,Three Deuces
2423,222QJ,3K,Three Deuces
2424,222QT,3K,Three Deuces
2425,222Q9,3K,Three Deuces
2426,222Q8,3K,Three Deuces
2427,222Q7,3K,Three Deuces
2428,222Q6,3K,Three Deuces
2429,222Q5,3K,Three Deuces
2430,222Q4,3K,Three Deuces
2431,222Q3,3K,Three Deuces
2432,222JT,3K,Three Deuces
2433,222J9,3K,Three Deuces
2434,222J8,3K,Three Deuces
2435,222J7,3K,Three Deuces
2436,222J6,3K,Three Deuces
2437,222J5,3K,Three Deuces
2438,222J4,3K,Three Deuces
2439,222J3,3K,Three Deuces
2440,222T9,3K,Three Deuces
2441,222T8,3K,Three Deuces
2442,222T7,3K,Three Deuces
2443,222T6,3K,Three Deuces
2444,222T5,3K,Three Deuces
2445,222T4,3K,Three Deuces
2446,222T3,3K,Three Deuces
2447,22298,3K,Three Deuces
2448,22297,3K,Three Deuces
2449,22296,3K,Three Deuces
2450,22295,3K,Three Deuces
2451,22294,3K,Three Deuces
2452,22293,3K,Three Deuces
2453,22287,3K,Three Deuces
2454,22286,3K,Three Deuces
2455,22285,3K,Three Deuces
2456,22284,3K,Three Deuces
2457,22283,3K,Three Deuces
2458,22276,3K,Three Deuces
2459,22275,3K,Three Deuces
2460,22274,3K,Three Deuces
2461,22273,3K,Three Deuces
2462,22265,3K,Three Deuces
2463,22264,3K,Three Deuces
2464,22263,3K,Three Deuces
2465,22254,3K,Three Deuces
2466,22253,3K,Three Deuces
2467,22243,3K,Three Deuces
2468,AAKKQ,2P,Aces and Kings
2469,AAKKJ,2P,Aces and Kings
2470,AAKKT,2P,Aces and Kings
2471,AAKK9,2P,Aces and Kings
2472,AAKK8,2P,Aces and Kings
2473,AAKK7,2P,Aces and Kings
2474,AAKK6,2P,Aces and Kings
2475,AAKK5,2P,Aces and Kings
2476,AAKK4,2P,Aces and Kings
2477,AAKK3,2P,Aces and Kings
2478,AAKK2,2P,Aces and Kings
2479,AAQQK,2P,Aces and Queens
2480,AAQQJ,2P,Aces and Queens
2481,AAQQT,2P,Aces and Queens
2482,AAQQ9,2P,Aces and Queens
2483,AAQQ8,2P,Aces and Queens
2484,AAQQ7,2P,Aces and Queens
2485,AAQQ6,2P,Aces and Queens
2486,AAQQ5,2P,Aces and Queens
2487,AAQQ4,2P,Aces and Queens
2488,AAQQ3,2P,Aces and Queens
2489,AAQQ2,2P,Aces and Queens
2490,AAJJK,2P,Aces and Jacks
2491,AAJJQ,2P,Aces and Jacks
2492,AAJJT,2P,Aces and Jacks
2493,AAJJ9,2P,Aces and Jacks
2494,AAJJ8,2P,Aces and Jacks
2495,AAJJ7,2P,Aces and Jacks
2496,AAJJ6,2P,Aces and Jacks
2497,AAJJ5,2P,Aces and Jacks
2498,AAJJ4,2P,Aces and Jacks
2499,AAJJ3,2P,Aces and Jacks
2500,AAJJ2,2P,Aces and Jacks
2501,AATTK,2P,Aces and Tens
2502,AATTQ,2P,Aces and Tens
2503,AATTJ,2P,Aces and Tens
2504,AATT9,2P,Aces and Tens
2505,AATT8,2P,Aces and Tens
2506,AATT7,2P,Aces and Tens
2507,AATT6,2P,Aces and Tens
2508,AATT5,2P,Aces and Tens
2509,AATT4,2P,Aces and Tens
2510,AATT3,2P,Aces and Tens
2511,AATT2,2P,Aces and Tens
2512,AA99K,2P,Aces and Nines
2513,AA99Q,2P,Aces and Nines
2514,AA99J,2P,Aces and Nines
2515,AA99T,2P,Aces and Nines
2516,AA998,2P,Aces and Nines
2517,AA997,2P,Aces and Nines
2518,AA996,2P,Aces and Nines
2519,AA995,2P,Aces and Nines
2520,AA994,2P,Aces and Nines
2521,AA993,2P,Aces and Nines
2522,AA992,2P,Aces and Nines
2523,AA88K,2P,Aces and Eights
2524,AA88Q,2P,Aces and Eights
2525,AA88J,2P,Aces and Eights
2526,AA88T,2P,Aces and Eights
2527,AA889,2P,Aces and Eights
2528,AA887,2P,Aces and Eights
2529,AA886,2P,Aces and Eights
2530,AA885,2P,Aces and Eights
2531,AA884,2P,Aces and Eights
2532,AA883,2P,Aces and Eights
2533,AA882,2P,Aces and Eights
2534,AA77K,2P,Aces and Sevens
2535,AA77Q,2P,Aces and Sevens
2536,AA77J,2P,Aces and Sevens
2537,AA77T,2P,Aces and Sevens
2538,AA779,2P,Aces and Sevens
2539,AA778,2P,Aces and Sevens
2540,AA776,2P,Aces and Sevens
2541,AA775,2P,Aces and Sevens
2542,AA774,2P,Aces and Sevens
2543,AA773,2P,Aces and Sevens
2544,AA772,2P,Aces and Sevens
2545,AA66K,2P,Aces and Sixes
2546,AA66Q,2P,Aces and Sixes
2547,AA66J,2P,Aces and Sixes
2548,AA66T,2P,Aces and Sixes
2549,AA669,2P,Aces and Sixes
2550,AA668,2P,Aces and Sixes
2551,AA667,2P,Aces and Sixes
2552,AA665,2P,Aces and Sixes
2553,AA664,2P,Aces and Sixes
2554,AA663,2P,Aces and Sixes
2555,AA662,2P,Aces and Sixes
2556,AA55K,2P,Aces and Fives
2557,AA55Q,2P,Aces and Fives
2558,AA55J,2P,Aces and Fives
2559,AA55T,2P,Aces and Fives
2560,AA559,2P,Aces and Fives
2561,AA558,2P,Aces and Fives
2562,AA557,2P,Aces and Fives
2563,AA556,2P,Aces and Fives
2564,AA554,2P,Aces and Fives
2565,AA553,2P,Aces and Fives
2566,AA552,2P,Aces and Fives
2567,AA44K,2P,Aces and Fours
2568,AA44Q,2P,Aces and Fours
2569,AA44J,2P,Aces and Fours
2570,AA44T,2P,Aces and Fours
2571,AA449,2P,Aces and Fours
2572,AA448,2P,Aces and Fours
2573,AA447,2P,Aces and Fours
2574,AA446,2P,Aces and Fours
2575,AA445,2P,Aces and Fours
2576,AA443,2P,Aces and Fours
2577,AA442,2P,Aces and Fours
2578,AA33K,2P,Aces and Treys
2579,AA33Q,2P,Aces and Treys
2580,AA33J,2P,Aces and Treys
2581,AA33T,2P,Aces and Treys
2582,AA339,2P,Aces and Treys
2583,AA338,2P,Aces and Treys
2584,AA337,2P,Aces and Treys
2585,AA336,2P,Aces and Treys
2586,AA335,2P,Aces and Treys
2587,AA334,2P,Aces and Treys
2588,AA332,2P,Aces and Treys
2589,AA22K,2P,Aces and Deuces
2590,AA22Q,2P,Aces and Deuces
2591,AA22J,2P,Aces and Deuces
2592,AA22T,2P,Aces and Deuces
2593,AA229,2P,Aces and Deuces
2594,AA228,2P,Aces and Deuces
2595,AA227,2P,Aces and Deuces
2596,AA226,2P,Aces and Deuces
2597,AA225,2P,Aces and Deuces
2598,AA224,2P,Aces and Deuces
2599,AA223,2P,Aces and Deuces
2600,KKQQA,2P,Kings and Queens
2601,KKQQJ,2P,Kings and Queens
2602,KKQQT,2P,Kings and Queens
2603,KKQQ9,2P,Kings and Queens
2604,KKQQ8,2P,Kings and Queens
2605,KKQQ7,2P,Kings and Queens
2606,KKQQ6,2P,Kings and Queens
2607,KKQQ5,2P,Kings and Queens
2608,KKQQ4,2P,Kings and Queens
2609,KKQQ3,2P,Kings and Queens
2610,KKQQ2,2P,Kings and Queens
2611,KKJJA,2P,Kings and Jacks
2612,KKJJQ,2P,Kings and Jacks
2613,KKJJT,2P,Kings and Jacks
2614,KKJJ9,2P,Kings and Jacks
2615,KKJJ8,2P,Kings and Jacks
2616,KKJJ7,2P,Kings and Jacks
2617,KKJJ6,2P,Kings and Jacks
2618,KKJJ5,2P,Kings and Jacks
2619,KKJJ4,2P,Kings and Jacks
2620,KKJJ3,2P,Kings and Jacks
2621,KKJJ2,2P,Kings and Jacks
2622,KKTTA,2P,Kings and Tens
2623,KKTTQ,2P,Kings and Tens
2624,KKTTJ,2P,Kings and Tens
2625,KKTT9,2P,Kings and Tens
2626,KKTT8,2P,Kings and Tens
2627,KKTT7,2P,Kings and Tens
2628,KKTT6,2P,Kings and Tens
2629,KKTT5,2P,Kings and Tens
2630,KKTT4,2P,Kings and Tens
2631,KKTT3,2P,Kings and Tens
2632,KKTT2,2P,Kings and Tens
2633,KK99A,2P,Kings and Nines
2634,KK99Q,2P,Kings and Nines
2635,KK99J,2P,Kings and Nines
2636,KK99T,2P,Kings and Nines
2637,KK998,2P,Kings and Nines
2638,KK997,2P,Kings and Nines
2639,KK996,2P,Kings and Nines
2640,KK995,2P,Kings and Nines
2641,KK994,2P,Kings and Nines
2642,KK993,2P,Kings and Nines
2643,KK992,2P,Kings and Nines
2644,KK88A,2P,Kings and Eights
2645,KK88Q,2P,Kings and Eights
2646,KK88J,2P,Kings and Eights
2647,KK88T,2P,Kings and Eights
2648,KK889,2P,Kings and Eights
2649,KK887,2P,Kings and Eights
2650,KK886,2P,Kings and Eights
2651,KK885,2P,Kings and Eights
2652,KK884,2P,Kings and Eights
2653,KK883,2P,Kings and Eights
2654,KK882,2P,Kings and Eights
2655,KK77A,2P,Kings and Sevens
2656,KK77Q,2P,Kings and Sevens
2657,KK77J,2P,Kings and Sevens
2658,KK77T,2P,Kings and Sevens
2659,KK779,2P,Kings and Sevens
2660,KK778,2P,Kings and Sevens
2661,KK776,2P,Kings and Sevens
2662,KK775,2P,Kings and Sevens
2663,KK774,2P,Kings and Sevens
2664,KK773,2P,Kings and Sevens
2665,KK772,2P,Kings and Sevens
2666,KK66A,2P,Kings and Sixes
2667,KK66Q,2P,Kings and Sixes
2668,KK66J,2P,Kings and Sixes
2669,KK66T,2P,Kings and Sixes
2670,KK669,2P,Kings and Sixes
2671,KK668,2P,Kings and Sixes
2672,KK667,2P,Kings and Sixes
2673,KK665,2P,Kings and Sixes
2674,KK664,2P,Kings and Sixes
2675,KK663,2P,Kings and Sixes
2676,KK662,2P,Kings and Sixes
2677,KK55A,2P,Kings and Fives
2678,KK55Q,2P,Kings and Fives
2679,KK55J,2P,Kings and Fives
2680,KK55T,2P,Kings and Fives
2681,KK559,2P,Kings and Fives
2682,KK558,2P,Kings and Fives
2683,KK557,2P,Kings and Fives
