rank,hand,category,description
191,QQQAA,FH,Queens Full over Aces
192,QQQKK,FH,Queens Full over Kings
193,QQQJJ,FH,Queens Full over Jacks
194,QQQTT,FH,Queens Full over Tens
195,QQQ99,FH,Queens Full over Nines
196,QQQ88,FH,Queens Full over Eights
197,QQQ77,FH,Queens Full over Sevens
198,QQQ66,FH,Queens Full over Sixes
199,QQQ55,FH,Queens Full over Fives
200,QQQ44,FH,Queens Full over Fours
201,QQQ33,FH,Queens Full over Treys
202,QQQ22,FH,Queens Full over Deuces
203,JJJAA,FH,Jacks Full over Aces
204,JJJKK,FH,Jacks Full over Kings
205,JJJQQ,FH,Jacks Full over Queens
206,JJJTT,FH,Jacks Full over Tens
207,JJJ99,FH,Jacks Full over Nines
208,JJJ88,FH,Jacks Full over Eights
209,JJJ77,FH,Jacks Full over Sevens
210,JJJ66,FH,Jacks Full over Sixes
211,JJJ55,FH,Jacks Full over Fives
212,JJJ44,FH,Jacks Full over Fours
213,JJJ33,FH,Jacks Full over Treys
214,JJJ22,FH,Jacks Full over Deuces
215,TTTAA,FH,Tens Full over Aces
216,TTTKK,FH,Tens Full over Kings
217,TTTQQ,FH,Tens Full over Queens
218,TTTJJ,FH,Tens Full over Jacks
219,TTT99,FH,Tens Full over Nines
220,TTT88,FH,Tens Full over Eights
221,TTT77,FH,Tens Full over Sevens
222,TTT66,FH,Tens Full over Sixes
223,TTT55,FH,Tens Full over Fives
224,TTT44,FH,Tens Full over Fours
225,TTT33,FH,Tens Full over Treys
226,TTT22,FH,Tens Full over Deuces
227,999AA,FH,Nines Full over Aces
228,999KK,FH,Nines Full over Kings
229,999QQ,FH,Nines Full over Queens
230,999JJ,FH,Nines Full over Jacks
231,999TT,FH,Nines Full over Tens
232,99988,FH,Nines Full over Eights
233,99977,FH,Nines Full over Sevens
234,99966,FH,Nines Full over Sixes
235,99955,FH,Nines Full over Fives
236,99944,FH,Nines Full over Fours
237,99933,FH,Nines Full over Treys
238,99922,FH,Nines Full over Deuces
239,888AA,FH,Eights Full over Aces
240,888KK,FH,Eights Full over Kings
241,888QQ,FH,Eights Full over Queens
242,888JJ,FH,Eights Full over Jacks
243,888TT,FH,Eights Full over Tens
244,88899,FH,Eights Full over Nines
245,88877,FH,Eights Full over Sevens
246,88866,FH,Eights Full over Sixes
247,88855,FH,Eights Full over Fives
248,88844,FH,Eights Full over Fours
249,88833,FH,Eights Full over Treys
250,88822,FH,Eights Full over Deuces
251,777AA,FH,Sevens Full over Aces
252,777KK,FH,Sevens Full over Kings
253,777QQ,FH,Sevens Full over Queens
254,777JJ,FH,Sevens Full over Jacks
255,777TT,FH,Sevens Full over Tens
256,77799,FH,Sevens Full over Nines
257,77788,FH,Sevens Full over Eights
258,77766,FH,Sevens Full over Sixes
259,77755,FH,Sevens Full over Fives
260,77744,FH,Sevens Full over Fours
261,77733,FH,Sevens Full over Treys
262,77722,FH,Sevens Full over Deuces
